tweet_num,spreader_num,in_degree_avg,in_degree_med,degree_avg,degree_med
137,130,41448,512,1922,602
0,0,0,0,0,0
200,192,4148,592,2017,850
51,50,54564,705,2161,637
0,0,0,0,0,0
45,44,121001,575,1749,270
13,13,42788,1674,2979,901
30,22,18572,761,1357,658
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,674,674,918,918
4,4,7995,2902,1229,629
0,0,0,0,0,0
1,1,4214,4214,779,779
80,79,70707,1294,3048,498
100,100,2845,485,1649,577
0,0,0,0,0,0
100,96,7711,1321,6976,2167
3,3,784,482,1553,1132
0,0,0,0,0,0
19,19,59289,627,9117,1094
500,491,4087,577,2536,1019
9,9,60600,965,3819,1862
173,143,18909,2042,2026,1253
0,0,0,0,0,0
200,195,6755,1113,2617,1148
0,0,0,0,0,0
72,69,2389,460,2213,810
0,0,0,0,0,0
2,1,15952,15952,5953,5953
0,0,0,0,0,0
0,0,0,0,0,0
70,67,78522,820,1772,940
0,0,0,0,0,0
100,95,84026,437,2834,815
81,81,37001,498,2211,507
100,98,5444,996,1946,1178
100,98,2000,401,1154,388
0,0,0,0,0,0
29,27,133759,1535,3098,819
68,62,20294,775,1154,366
75,70,22565,509,2576,1016
0,0,0,0,0,0
240,239,6621,396,2115,582
5,5,5088,1447,1616,1042
0,0,0,0,0,0
5,5,6673,1486,844,697
100,95,5392,668,3434,748
6,6,87692,2052,3950,1756
300,293,3784,828,2381,994
106,106,3474,514,2268,727
60,56,782429,590,1355,355
47,47,59858,559,1688,582
1,1,320,320,563,563
4,4,1525,1167,2490,2158
200,189,47893,811,2344,992
0,0,0,0,0,0
7,7,5534,332,1885,463
100,88,7371,1144,5400,562
70,69,134350,743,2746,716
1300,1232,5351,697,3377,1055
85,83,4037,702,2481,727
100,97,31223,1005,3252,1206
82,75,34410,1081,2065,1312
7,5,8003,317,343,60
200,198,5281,578,2234,716
1,1,223,223,4782,4782
4,4,3358,839,2957,2932
1,1,20849,20849,4,4
146,136,46301,767,3659,803
97,91,148133,504,5831,558
100,76,307276,1430,2141,1449
3,3,177657,12393,10115,13633
140,139,23046,452,2942,624
200,198,43935,542,2101,749
13,13,42522,882,2931,1313
38,35,17002,933,2017,971
20,19,53048,744,3778,2482
18,13,2518,2162,1569,687
20,11,9404,632,1452,444
103,94,3116,669,2393,714
37,37,33459,430,3581,459
11,8,2728,776,1434,660
200,193,12867,360,2507,724
400,391,3205,593,2996,1066
1,1,3561,3561,4908,4908
4,4,4190,3896,1324,1424
7,6,7453,9985,772,627
10,10,3700,1959,2534,2430
111,107,11675,2652,10241,2975
0,0,0,0,0,0
2,2,16472,16472,14905,14905
22,19,25052,1194,2385,1442
100,98,3447,582,3010,829
0,0,0,0,0,0
230,226,10588,527,2198,695
3,3,173537,5285,5821,2707
45,45,18441,1531,3149,1271
0,0,0,0,0,0
2,2,2737,2737,4138,4138
67,64,126894,318,1882,750
0,0,0,0,0,0
58,56,3413,737,1195,840
0,0,0,0,0,0
91,89,14795,662,2839,996
2,2,3285,3285,1551,1551
99,85,8169,992,1810,1197
0,0,0,0,0,0
0,0,0,0,0,0
3,3,8249,2475,1126,1331
0,0,0,0,0,0
9,9,5147,2688,1117,1094
100,100,9626,467,2188,786
31,31,6524,1402,1689,925
11,11,57633,2797,10019,2707
4,4,1962,1799,2202,1607
300,286,5354,948,2834,1022
156,136,100530,528,4986,757
3,3,7822,2475,489,133
16,12,4201,1715,1239,733
2,2,945,945,481,481
60,59,52901,1073,5751,657
0,0,0,0,0,0
28,25,139733,948,4413,830
87,85,7145,642,2656,949
2,2,14288,14288,10229,10229
3,3,1364,931,1728,140
97,86,86457,676,2322,691
300,288,34629,598,1910,743
28,27,11618,692,6547,626
300,291,23821,708,2667,915
9,7,2008,1195,1289,1196
400,384,4285,420,2032,661
1,1,15951,15951,5952,5952
0,0,0,0,0,0
7,7,75729,1685,4272,2041
103,101,37620,904,4102,777
188,178,58077,722,2240,1004
14,12,10079,5776,2022,1093
12,12,19296,3551,11515,3901
0,0,0,0,0,0
176,164,6982,630,2435,650
200,191,241252,2010,2923,1614
99,89,54475,1114,4752,861
300,292,5603,632,3070,1123
400,382,12381,839,3125,1122
201,192,51006,603,1955,926
16,16,33005,541,2466,1290
10,7,59906,11791,2785,1687
300,294,3329,427,1460,575
75,73,10111,674,6040,721
12,8,93028,10742,3752,982
200,198,4537,677,2356,870
14,11,5113,3565,1737,1150
400,379,125668,1345,2954,998
8,8,2992,1063,1701,1382
168,163,18516,922,1451,701
2,2,4620,4620,4772,4772
0,0,0,0,0,0
100,95,2319,636,1336,656
15,15,2566,666,1700,793
14,14,41438,1845,3990,2547
160,157,11326,987,2904,943
17,17,32315,639,2088,901
100,89,3675,1389,1892,987
1,1,515255,515255,14077,14077
300,287,12785,1059,2800,1125
3,3,12365,4149,10737,3648
1,1,15951,15951,5952,5952
100,93,55223,499,1749,487
40,39,28679,1052,3392,1099
100,96,29630,402,1382,598
100,89,56781,1042,1456,720
400,391,2360,416,1986,820
500,477,15848,687,2636,868
200,197,5185,1065,4468,1033
99,98,4149,401,2864,685
7,7,74893,1442,3940,2887
0,0,0,0,0,0
19,17,30579,2089,3688,3365
100,98,158525,545,1831,1023
9,9,58276,380,1991,239
1,1,15951,15951,5949,5949
10,10,5077,2391,3129,2728
100,97,28152,435,1303,479
1,1,15951,15951,5949,5949
0,0,0,0,0,0
0,0,0,0,0,0
65,64,43161,537,1794,638
34,29,172547,2152,1825,774
200,192,48886,445,6895,900
5,5,1134,1083,1733,1964
301,291,17960,418,1712,548
0,0,0,0,0,0
7,6,168423,1705,8001,1964
39,36,17784,866,1681,706
7,5,4865,861,3399,2217
9,9,6268,3797,4815,2102
0,0,0,0,0,0
0,0,0,0,0,0
200,195,58758,669,4093,900
8,8,4120,2590,1656,668
0,0,0,0,0,0
0,0,0,0,0,0
100,96,6367,298,1981,465
51,50,56997,613,3658,472
28,26,59912,3624,5793,2640
17,15,42804,3880,7206,2302
400,386,3397,897,2788,1237
24,20,25336,3091,2508,1384
20,20,16979,1139,8909,1271
68,66,47615,757,4538,750
0,0,0,0,0,0
0,0,0,0,0,0
4,4,4740,2937,1152,859
100,100,28470,367,1617,487
535,524,3293,445,1928,749
6,6,2086,1562,1126,1222
22,21,52570,3444,4663,2560
100,99,78421,377,1849,606
76,51,1958,1523,2756,3124
100,98,2829,990,3067,1240
71,68,54444,815,3740,837
15,12,53352,3714,1729,844
14,11,3977,583,1237,449
51,49,8990,640,3095,735
4,4,2928,1485,2910,3051
19,17,56952,800,3712,1755
200,162,108495,1046,2251,1260
11,11,48857,1289,3670,2053
86,83,37227,726,3090,729
18,17,13948,6425,10571,2934
4,4,5717,984,548,645
200,180,4302,558,2982,744
0,0,0,0,0,0
15,14,224589,1472,6742,1413
42,40,17425,1960,2785,997
21,16,52142,1155,4578,1739
100,92,38486,711,1674,794
0,0,0,0,0,0
1,1,2535,2535,1124,1124
200,196,4254,360,2827,679
100,100,86145,470,3125,699
282,257,68526,527,1455,736
27,27,21326,663,2809,1236
42,40,16874,1029,2491,952
43,43,16630,1785,2493,1001
200,195,55965,752,2928,1017
100,99,89133,673,1989,701
0,0,0,0,0,0
4,4,130724,3495,5017,2336
94,86,109248,1207,4094,933
14,9,17677,6060,1788,1005
40,39,235381,404,5259,862
0,0,0,0,0,0
32,32,89799,1118,4111,799
100,99,3081,558,2173,540
3,3,174282,5285,6737,3429
0,0,0,0,0,0
9,9,58535,773,2401,711
3,3,3265,3781,1514,1739
100,99,34763,1119,2877,881
100,98,30764,543,2255,542
46,43,117696,1168,1455,809
1,1,25928,25928,3386,3386
2,2,11134,11134,1024,1024
62,59,1622,541,1841,688
0,0,0,0,0,0
0,0,0,0,0,0
1,1,12466,12466,569,569
0,0,0,0,0,0
85,81,67015,564,1247,638
0,0,0,0,0,0
30,30,104306,1293,3497,1005
8,8,66183,1963,2716,758
27,26,106175,382,3220,300
0,0,0,0,0,0
24,24,113069,674,1253,308
25,25,108600,756,1347,484
90,86,36309,543,2300,599
0,0,0,0,0,0
1,1,269,269,68,68
100,92,4516,887,3214,1227
3,3,8472,1842,7160,710
45,45,63467,486,2369,300
55,53,51268,446,1126,453
46,46,117035,350,3560,694
0,0,0,0,0,0
100,97,3451,831,3323,1145
0,0,0,0,0,0
1,1,15946,15946,5948,5948
3,3,7660,9974,846,629
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,3,6517,65,678,99
388,357,170866,390,3206,635
47,43,25190,934,2516,1176
66,66,43030,838,1770,526
37,35,1068,50,621,90
0,0,0,0,0,0
66,55,7568,734,2047,1121
6,6,8806,1640,5340,1713
2,2,850,850,983,983
2,2,1164,1164,828,828
0,0,0,0,0,0
76,62,277209,3244,10058,1752
37,34,31832,1576,3164,1844
386,371,28072,947,2454,861
118,117,68294,295,1377,633
14,13,74240,471,3560,1942
8,8,373557,1178,1880,1699
57,49,99135,1140,3774,715
52,49,6738,786,1312,609
39,35,29739,1950,3147,2350
200,196,7901,701,3436,861
8,8,66089,1126,3888,1629
325,303,46300,1007,3715,977
100,93,5984,998,2889,821
10,7,4108,2335,743,658
59,59,54196,792,1645,745
5,3,8132,7475,1126,978
154,139,34313,1321,3738,863
51,45,62762,1472,2376,1675
100,95,10878,940,7712,1146
15,13,3293,312,824,429
209,185,2429,605,1871,809
0,0,0,0,0,0
23,21,1655,985,2096,1367
5,5,139833,1007,6669,4316
4,4,6091,6027,5244,5526
300,288,3246,408,2384,615
400,344,7026,718,2638,1298
200,116,7224,959,2347,1666
200,158,7293,689,2112,1129
9,9,57460,806,3533,1584
2,2,66,66,169,169
22,22,25255,491,2147,696
9,9,61825,1579,3291,899
2,2,28,28,52,52
74,74,17490,420,1816,679
37,35,87823,681,1195,732
217,198,6876,752,1864,996
17,17,38005,1744,7596,1987
100,97,28620,593,2163,639
200,196,14378,977,4143,993
1,1,876,876,728,728
195,186,201673,449,1771,626
0,0,0,0,0,0
5,5,102088,6023,83128,5536
0,0,0,0,0,0
0,0,0,0,0,0
5,5,4297,1315,1861,1698
0,0,0,0,0,0
257,251,13593,961,3214,1076
16,15,227943,323,505,326
1,1,1697,1697,1964,1964
23,23,6072,339,3425,344
25,24,8079,6276,7037,5761
69,68,49114,1507,5174,1717
76,74,71138,428,1053,484
32,30,35738,864,3773,1210
76,76,46842,728,4188,660
71,71,151853,1306,2212,966
200,181,11879,927,2476,1033
1,1,15960,15960,5960,5960
62,57,2543,556,1368,573
104,97,2574,963,1938,1408
2,2,8045,8045,3089,3089
0,0,0,0,0,0
26,26,309626,665,2121,1039
2,2,2009,2009,3839,3839
27,26,22390,1368,2629,1021
5,5,104240,2186,4979,3222
300,293,4218,599,2019,895
1,1,117,117,160,160
0,0,0,0,0,0
10,8,105518,5534,3979,1603
90,83,98435,769,5311,675
13,13,41481,1874,3638,2001
40,40,4264,629,3885,691
100,99,3671,741,2688,678
18,12,34447,1567,2160,919
500,473,4865,822,2549,1096
1,1,15960,15960,5960,5960
11,11,1819,517,1646,1134
0,0,0,0,0,0
250,246,198187,689,1798,912
14,14,26150,731,3694,1281
26,25,1950,579,1488,886
0,0,0,0,0,0
177,169,29299,1434,6721,1714
2,1,12477,12477,569,569
12,11,45842,4156,2082,383
57,41,160855,3011,1377,813
200,192,21597,1670,6764,2014
7,7,74539,1280,3863,2707
24,24,131111,618,1457,652
5,5,14313,9583,15067,8976
8,8,5714,4614,3059,2777
16,16,42067,2391,2340,1201
64,64,49360,703,6306,527
200,197,4537,826,2778,965
43,40,77005,826,8111,483
200,193,18851,1093,3678,1407
16,16,34748,1495,2333,1014
27,23,4238,678,3796,1014
91,83,61032,375,1781,483
4,4,14924,6199,4330,4999
200,190,25585,822,1925,925
4,4,567,605,1992,1712
40,40,82551,860,2395,908
1,1,15969,15969,5960,5960
8,8,6098,1005,1755,1370
5,5,104787,5244,4781,2707
100,81,30399,875,3531,1200
100,94,29313,697,1781,545
31,26,3438,815,3805,1348
200,189,30801,623,1810,712
57,54,59497,1301,2987,782
27,27,284908,480,5189,1082
7,7,73534,534,2899,1333
21,21,27572,1632,2977,2375
168,160,18024,968,5179,1175
22,19,274735,3597,25901,1382
1,1,1697,1697,1964,1964
0,0,0,0,0,0
33,33,19076,1008,2263,1649
13,13,44295,2467,3658,2707
800,776,19509,485,1678,669
100,96,9002,565,1543,868
3,3,578,596,1628,503
0,0,0,0,0,0
199,190,31957,633,2030,679
24,24,126123,674,2010,349
10,10,9932,1194,1132,1072
1,1,1690,1690,508,508
18,18,30471,839,2518,1263
1,1,1,1,1,1
20,20,189367,1831,2840,539
10,10,53159,1885,3504,2517
6,6,3795,354,568,402
8,8,46875,2578,5652,1062
0,0,0,0,0,0
87,76,73967,817,2795,1139
106,99,8218,1292,7955,1663
0,0,0,0,0,0
78,70,41921,1201,3278,759
2,2,722,722,2502,2502
14,14,5870,3099,3334,1987
400,390,3332,422,1379,709
9,8,404667,488,513,318
100,98,866,263,1049,483
3,3,99686,1071,1087,662
9,9,307,219,552,186
200,195,5590,925,4353,988
100,95,55701,578,1662,591
2,2,1071,1071,1129,1129
42,42,73354,589,2429,773
12,12,250381,2302,2116,747
59,57,47667,641,1627,487
91,87,93979,1739,4107,1642
6,6,88263,3230,5643,4007
17,17,11998,1559,2395,1382
6,6,86856,1865,4759,3773
11,10,93935,167,3424,1010
16,16,33153,686,2383,1076
49,45,13896,1189,1874,1386
163,151,9799,1698,3439,2088
27,21,1444,401,1551,724
395,361,116397,604,1959,800
20,18,1415,891,1451,505
0,0,0,0,0,0
11,11,49102,1108,2827,998
17,15,32281,764,2379,594
38,35,152447,192,772,319
8,6,37142,3574,1131,1032
9,9,58646,2080,3315,1964
2,2,41551,41551,1812,1812
2,2,1169,1169,3058,3058
100,94,17689,1454,14107,1861
49,46,123607,772,1483,653
100,88,97538,621,5689,668
21,20,26754,380,12601,541
70,68,3988,364,3140,396
252,249,21258,1912,4671,2235
19,19,35875,959,3738,1420
200,197,3072,304,1223,452
100,97,15888,557,2267,894
20,20,18351,266,2638,624
96,81,14501,2054,9175,2215
0,0,0,0,0,0
25,24,1557,159,782,321
211,199,17750,551,1949,917
0,0,0,0,0,0
18,18,33230,2425,4227,3254
100,97,25100,712,2002,935
162,158,103074,506,1999,818
17,16,34903,2037,3559,1816
48,47,24727,1079,3449,1118
100,97,4093,330,2847,470
41,41,76107,2499,3869,2669
0,0,0,0,0,0
9,9,7240,1494,1463,1135
25,25,122857,1596,3184,2538
95,92,106138,525,8348,696
5,5,110030,12481,7736,2707
63,63,149859,581,4074,696
7,7,4255,1473,3009,952
0,0,0,0,0,0
31,31,7156,569,1544,839
78,78,105089,895,2425,1031
28,26,17656,2152,9803,974
18,18,168446,1420,3065,1875
86,75,52456,2432,3241,1335
5,5,103517,824,4045,1540
28,28,4776,251,1557,362
26,21,2456,600,2195,1651
1,1,74,74,453,453
0,0,0,0,0,0
6,6,56175,687,2895,615
0,0,0,0,0,0
14,14,41514,3491,3904,2139
9,9,40352,3349,3802,2683
6,6,6011,818,1591,545
100,99,4569,339,3040,579
244,228,3146,1244,2136,1330
100,96,29232,1128,2160,1072
69,64,40787,733,1581,687
0,0,0,0,0,0
200,199,7038,1459,6038,1664
100,100,5126,900,2846,1057
100,90,3170,1247,2594,1402
32,31,20943,1262,2461,1177
14,14,38606,811,2670,1094
6,5,31077,10429,2595,2404
38,36,84677,779,1824,844
115,101,13013,532,1877,818
0,0,0,0,0,0
100,94,116459,1116,4762,1109
38,38,236611,493,2127,786
20,18,55811,4363,3584,1648
17,17,31249,288,2115,560
600,561,4433,756,3171,1464
0,0,0,0,0,0
9,8,61857,5333,3600,1245
0,0,0,0,0,0
21,19,25753,595,2679,1189
17,16,60969,598,2408,701
199,188,48195,617,4572,1042
5,5,102855,46,3629,868
116,107,28271,2109,7855,1768
200,173,5593,806,1980,379
7,6,77266,1137,2475,569
300,289,40244,790,3448,1074
100,85,68860,1728,8001,908
17,16,4494,91,1807,401
1,1,233,233,844,844
0,0,0,0,0,0
4,3,5092,4495,3032,1983
7,7,52797,1815,6765,3636
133,127,16823,991,2130,1062
1,1,153,153,1558,1558
83,74,288695,852,2986,877
49,48,56269,553,1732,453
2,2,638,638,1461,1461
47,46,180881,1699,3189,1220
600,584,81887,612,2158,845
7,7,7596,2191,2014,1639
700,639,2248,206,1176,362
26,26,22839,697,2092,1488
4,4,129059,1471,4376,1712
13,13,8322,6020,2571,1780
1,1,70,70,76,76
31,30,33758,305,2122,676
35,29,93141,980,4998,1155
100,93,30095,1136,1886,631
30,30,102000,1124,2353,961
300,296,3880,292,1449,670
200,191,29407,982,3422,1150
69,66,89934,1212,1953,1485
30,24,226673,1439,2830,1347
3,2,8340,12481,419,569
2,2,257148,257148,7419,7419
29,26,538942,330,2046,797
55,50,11243,1063,1364,896
4,4,129618,2619,4320,1569
46,44,66621,674,2171,1354
19,19,54031,991,1070,696
18,17,30562,868,1796,422
7,7,74903,1557,3517,2707
8,8,1078,654,1558,749
27,23,21144,2309,8020,1753
89,85,10046,5542,8546,5003
43,42,11434,7064,9900,5870
200,165,17773,7765,16630,7867
0,0,0,0,0,0
100,100,5242,2297,5238,2851
25,24,7786,4209,6549,3504
4,4,89652,16672,7808,2386
0,0,0,0,0,0
2,2,21256,21256,11581,11581
2,2,1199,1199,2173,2173
200,195,15327,4751,14801,5001
1,1,120819,120819,87330,87330
300,275,19612,770,2828,991
12,12,44777,940,2767,1267
3,3,4629,5221,3256,1540
15,15,6288,1120,1414,811
11,11,50069,1707,3787,2253
45,45,183280,253,3028,890
3,3,2849,409,140,29
21,21,146082,1090,4837,1714
49,41,159289,1066,1689,818
18,18,445518,273,2214,1613
15,15,22826,2626,5940,2537
52,51,61040,936,4549,1340
1100,1040,14865,592,1881,738
155,155,58774,1319,4368,1330
175,171,91444,374,2213,688
30,28,202228,588,4687,407
63,51,249353,1678,13215,769
100,98,5916,2779,5684,4008
173,163,46848,834,6030,969
17,17,181325,853,8228,1089
166,155,45865,1788,3053,831
26,25,21691,1666,2603,1829
141,119,80879,1041,1720,762
134,131,24118,207,3260,528
6,6,94411,5933,10813,3925
67,65,46727,675,3154,886
2,2,1125,1125,2129,2129
100,97,30927,997,1721,1180
88,83,568091,574,1705,577
6,6,16353,1203,1093,1075
8,8,959,580,1111,506
43,43,13430,894,1947,1005
14,10,9723,7378,1925,1616
4,4,12017,7205,2565,1739
100,98,10098,1750,4742,2072
92,82,109471,2041,8993,1655
151,150,105931,538,1613,803
5,4,267,22,369,38
80,72,113794,476,1754,970
100,100,5559,693,1888,1041
296,291,13037,1059,5483,1491
100,92,55271,770,1796,703
100,93,41364,667,1915,845
29,29,38507,279,6092,920
100,98,78280,537,2485,970
28,28,272762,706,1349,1119
34,34,84470,712,4200,708
30,27,138108,429,1184,689
54,53,3109,762,2633,1575
200,175,2986,577,2196,804
0,0,0,0,0,0
0,0,0,0,0,0
58,58,53252,552,2164,465
100,98,88927,1977,4432,3002
129,118,96104,1592,6725,1312
200,196,15282,4259,14395,4991
10,10,12454,2898,4124,1231
48,43,3963,1462,2966,1364
4,4,8184,774,7071,819
81,74,1739,319,1690,420
0,0,0,0,0,0
18,17,21045,608,3274,816
1,1,383,383,624,624
100,98,9501,2722,8659,3483
100,95,34769,1570,11490,1359
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
60,57,11052,1733,3043,1158
42,42,79689,759,8691,1319
89,85,74795,526,3024,484
99,91,85708,820,8408,1057
25,24,5332,738,6268,378
45,44,51004,2224,4622,2299
12,11,8320,2001,5138,1798
13,13,232212,1083,1787,1603
32,31,18659,798,3154,1230
16,16,34136,614,1892,935
10,10,376458,81,629,174
100,98,2786,348,2251,739
48,40,84278,261,1162,494
6,6,87181,1090,4348,1569
12,12,248100,504,389,304
100,84,8004,599,3277,824
200,184,4185,469,2269,503
77,72,49133,511,1318,519
41,41,4550,222,4080,518
4,4,716,634,430,340
26,26,118931,1210,3275,1162
62,61,72040,708,1902,1113
7,7,74833,1536,3366,402
200,190,11150,933,2268,872
24,23,248577,492,1322,611
62,59,19544,970,2537,1041
5,5,572,189,996,396
8,8,67736,1812,2927,1318
4,4,742878,400,323,197
6,6,1906,946,1367,1373
21,20,27435,1313,3870,900
7,7,425433,514,1105,285
213,211,8427,574,4379,530
18,16,166392,359,987,249
9,9,33391,2955,2736,2132
28,26,133190,2565,2370,1043
30,30,104786,582,5317,803
7,7,74344,893,3066,1069
4,4,133397,9369,4073,866
3,3,175436,12482,5396,1540
200,191,3416,347,2223,631
6,6,1509,458,782,328
3,3,171427,966,5368,2012
161,156,5372,594,2066,1178
39,34,78971,942,2426,981
14,11,4166,1771,1757,786
6,6,87675,2527,3196,1033
22,22,147385,3737,10475,2940
36,36,86795,406,1596,456
12,11,249592,679,1022,685
100,99,11023,1184,3351,1261
100,93,59584,694,4641,700
17,15,350881,698,1030,451
76,74,39783,713,2707,756
100,91,35709,695,3124,633
11,10,279491,2059,1540,810
